Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/01/2019,8.7,9.8,9.3,8.8,15.4,6.6,7.0,7.6,6.3,5.7,4.3,4.9,3.7,4.6,5.5,5.1,5.3,6.8,8.2,LIM,LIM,LIM,LIM,LIM
01/02/2019,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,AQI,AQI,4.0,2.2,0.7,0.8,2.2,1.7,3.1,3.2
01/03/2019,1.0,0.8,2.0,0.8,0.0,1.8,2.6,5.4,3.4,0.9,0.9,0.9,0.6,1.5,1.4,2.4,2.4,2.9,3.0,4.0,3.2,3.7,2.7,2.3
01/04/2019,3.0,3.7,3.9,5.6,4.3,3.3,4.0,5.5,6.6,5.6,2.9,3.5,2.3,0.0,2.6,4.5,4.1,8.1,10.2,10.6,17.7,13.4,12.3,10.2
01/05/2019,10.0,11.0,13.3,12.6,10.5,11.6,7.4,9.1,16.4,9.6,5.5,3.0,2.6,4.1,3.5,6.7,5.1,5.3,8.5,9.1,8.8,8.6,7.4,5.6
01/06/2019,4.0,5.6,5.4,5.1,6.8,9.2,7.9,6.1,7.2,9.3,4.6,2.4,2.1,3.5,5.0,5.1,3.7,6.9,5.8,4.4,5.7,4.2,4.5,3.7
01/07/2019,4.4,5.7,4.7,4.7,4.6,5.2,6.2,7.5,QAS,QAS,2.4,0.5,2.6,2.3,2.8,3.2,2.9,4.9,7.4,8.0,7.2,8.0,4.9,5.0
01/08/2019,4.9,5.5,6.8,3.4,5.3,4.6,6.5,9.1,15.3,6.2,4.7,1.6,0.9,2.3,3.4,3.7,4.5,6.6,6.3,4.6,5.7,6.9,7.6,4.7
01/09/2019,4.0,4.5,4.7,3.8,3.4,4.2,3.8,4.7,5.3,4.7,3.2,1.0,0.0,0.0,1.0,2.2,3.6,6.9,8.1,6.6,10.1,7.2,11.3,11.7
01/10/2019,12.4,14.8,9.2,9.7,8.5,9.5,10.3,6.6,5.5,5.3,3.1,2.8,1.2,2.5,3.1,3.3,3.6,3.9,3.9,4.2,3.8,3.5,4.4,4.4
01/11/2019,4.8,4.4,5.1,4.1,5.0,6.9,6.8,6.5,6.3,6.7,5.1,3.7,3.4,4.1,6.3,7.1,7.6,6.6,6.0,5.4,3.2,3.4,3.4,3.5
01/12/2019,3.2,2.4,4.7,2.6,1.1,2.7,3.8,4.5,3.6,5.4,3.4,1.9,1.6,2.2,3.4,3.5,4.1,5.0,6.5,5.9,5.6,5.8,4.7,4.7
01/13/2019,4.3,4.8,6.1,5.1,5.2,5.6,6.6,8.3,8.1,7.9,6.1,4.2,3.8,4.0,4.4,5.2,5.0,6.9,11.0,11.0,9.2,7.7,6.4,4.9
01/14/2019,4.6,5.3,6.0,5.9,5.6,6.0,6.7,5.8,7.1,7.1,6.6,5.6,5.4,6.0,5.5,6.7,7.8,6.7,9.6,8.8,11.3,14.3,12.8,10.4
01/15/2019,11.0,12.6,11.4,6.5,4.9,8.0,8.5,8.6,9.0,9.1,8.7,6.2,4.2,6.0,7.2,7.6,7.1,10.2,10.7,8.4,7.6,7.0,8.1,6.5
01/16/2019,6.9,7.4,8.6,8.1,7.5,7.8,8.2,7.5,8.8,8.8,6.3,3.3,2.1,0.0,0.7,2.8,6.3,7.0,7.1,5.4,4.2,3.9,3.7,2.2
01/17/2019,1.5,2.3,1.1,2.9,2.9,3.3,5.9,7.2,6.6,5.2,6.4,6.6,3.8,3.0,4.4,3.3,5.3,4.1,6.6,7.5,8.4,13.7,16.2,12.4
01/18/2019,12.1,13.1,11.3,10.4,8.3,7.2,8.3,8.2,8.4,8.6,5.7,4.7,3.6,2.4,2.2,4.0,4.7,5.9,7.1,7.7,5.2,8.3,2.5,0.5
01/19/2019,6.9,8.0,2.5,1.9,2.9,1.9,3.8,4.0,3.6,3.1,4.0,3.1,2.2,2.2,3.5,4.3,3.7,4.4,3.6,3.9,4.1,3.0,5.1,11.2
01/20/2019,3.8,3.6,3.6,3.3,4.1,2.7,4.3,4.5,4.9,1.6,3.5,2.5,1.3,0.8,3.5,2.8,2.8,3.3,5.3,5.1,6.9,6.9,4.7,3.7
01/21/2019,3.9,4.3,4.7,3.7,4.3,3.7,4.0,5.2,5.0,5.1,5.7,2.7,3.7,1.5,2.9,3.8,4.2,4.5,5.1,5.2,5.0,4.7,5.0,3.7
01/22/2019,2.9,2.1,3.9,2.7,2.8,3.5,3.7,5.1,5.0,4.9,5.1,6.2,5.2,4.8,6.8,9.0,9.0,9.2,7.9,5.2,3.8,2.5,3.6,4.8
01/23/2019,5.5,5.5,10.6,5.6,6.1,8.1,7.4,5.0,6.6,6.4,4.6,1.0,0.5,0.2,2.1,2.1,2.3,2.9,4.7,8.3,8.6,13.5,15.7,14.7
01/24/2019,15.1,10.5,10.8,11.6,8.1,8.5,7.8,12.3,11.5,6.0,1.7,1.9,0.7,0.5,2.2,4.5,5.5,6.3,7.7,7.8,7.4,10.1,5.6,4.9
01/25/2019,5.0,5.6,4.7,4.2,4.8,11.3,8.2,7.9,6.6,5.7,5.4,4.9,3.7,3.9,5.5,5.0,4.4,6.4,8.5,14.1,16.7,9.3,11.6,11.4
01/26/2019,5.1,5.6,6.0,4.3,8.0,5.2,5.6,7.1,10.9,7.6,7.2,6.3,5.4,6.0,5.8,6.1,6.4,7.8,9.2,11.8,13.0,23.5,31.1,23.1
01/27/2019,23.1,18.9,17.3,17.8,14.8,16.9,15.8,11.9,11.0,5.6,1.7,0.1,0.0,0.0,0.0,0.1,0.2,2.0,5.4,8.2,10.6,15.7,9.1,11.1
01/28/2019,6.6,5.8,5.4,2.4,2.7,5.3,15.9,13.2,8.9,7.6,5.6,1.7,3.8,2.8,4.7,4.9,5.5,7.6,5.7,4.6,4.4,4.5,4.0,3.5
01/29/2019,2.6,3.1,3.5,3.8,3.7,9.9,5.7,LIM,12.8,1.2,1.6,0.6,0.3,0.5,1.5,FEW,LST,LST,LST,LST,LST,LST,LST,LST
01/30/2019,LST,LST,LST,LST,PMA,AQI,18.7,10.3,6.6,7.9,6.7,5.3,4.0,3.0,4.1,5.0,5.3,6.0,7.7,7.9,5.8,6.4,5.3,5.2
01/31/2019,4.7,5.3,4.7,4.9,5.5,6.0,5.9,6.0,6.5,7.2,6.1,5.8,5.7,6.2,6.8,6.6,7.8,8.0,9.9,9.2,10.1,8.8,9.6,6.7
02/01/2019,5.2,3.3,3.9,5.6,5.3,7.3,5.6,5.5,4.9,4.0,3.6,4.3,2.5,1.5,2.9,4.6,6.3,5.4,5.8,7.0,7.0,8.6,8.1,7.9
02/02/2019,7.6,8.0,7.3,7.4,8.0,9.5,10.0,10.8,11.3,11.5,13.2,7.1,5.0,4.4,7.1,6.9,6.6,9.0,12.1,10.9,12.8,12.6,10.7,10.4
02/03/2019,12.3,13.2,10.8,8.9,9.4,6.7,7.3,8.3,7.6,7.2,7.5,6.6,6.7,8.5,9.2,10.8,11.7,11.7,14.8,15.9,14.3,13.5,14.2,14.9
02/04/2019,14.8,14.2,14.1,15.3,15.3,15.3,15.2,17.2,16.1,QAS,QAS,10.3,9.2,10.1,10.7,13.6,12.1,10.9,15.7,15.5,15.8,15.6,14.6,14.6
02/05/2019,17.4,17.9,17.1,17.1,17.1,18.0,20.9,21.6,24.7,23.7,23.0,19.7,18.4,16.2,15.2,15.4,14.4,17.9,20.1,21.1,22.4,22.5,22.9,25.3
02/06/2019,28.2,28.7,29.1,28.2,28.2,26.1,22.2,18.0,15.1,12.2,12.1,14.7,14.0,10.1,11.6,14.8,17.7,26.9,31.7,30.2,29.2,20.0,15.0,14.3
02/07/2019,13.6,14.9,16.8,17.8,16.1,5.5,3.6,4.1,2.8,3.7,4.5,3.9,2.4,2.7,3.7,3.3,3.8,4.0,5.1,5.2,4.8,5.8,6.2,5.4
02/08/2019,6.7,6.4,6.7,9.6,5.7,6.5,5.9,7.3,7.3,8.1,3.3,3.0,3.1,2.1,3.3,3.3,3.4,3.7,4.3,4.7,6.2,7.4,5.6,6.2
02/09/2019,5.7,6.6,4.1,3.4,4.1,3.7,4.9,4.7,4.6,5.0,4.2,3.5,4.3,2.6,4.8,4.4,3.7,6.2,4.9,6.9,7.4,6.5,6.0,3.5
02/10/2019,3.7,7.0,8.1,6.3,5.5,6.0,6.5,4.6,4.4,4.9,4.3,4.1,2.9,2.3,4.5,4.3,3.4,6.7,5.4,7.8,7.5,6.1,5.8,4.6
02/11/2019,3.9,3.7,1.6,3.5,5.6,4.9,5.6,5.9,6.2,6.9,5.4,4.2,2.9,4.6,5.8,7.3,4.6,2.0,5.5,5.9,5.3,6.9,6.8,4.1
02/12/2019,8.9,13.2,15.3,9.4,4.9,4.4,4.9,4.4,2.8,3.4,2.7,1.8,1.9,0.4,1.2,1.9,2.2,3.8,6.1,7.6,10.6,12.5,10.5,10.6
02/13/2019,8.1,5.5,5.8,10.1,7.9,8.4,10.1,28.0,25.2,4.5,0.6,0.0,0.2,0.2,1.4,3.0,3.1,3.2,2.4,2.9,3.2,3.7,3.0,3.7
02/14/2019,4.8,6.0,6.2,5.7,2.6,5.6,7.5,6.4,6.1,3.1,4.9,2.8,2.3,3.0,4.8,5.4,7.4,8.0,8.7,12.6,15.9,8.3,8.6,10.9
02/15/2019,10.5,9.4,11.0,9.5,12.6,12.3,11.4,19.4,23.4,16.5,12.5,7.6,6.4,8.7,9.8,8.2,9.7,13.2,18.4,10.3,12.3,11.9,9.1,9.2
02/16/2019,6.9,6.1,2.5,4.0,2.7,2.6,5.2,6.4,6.1,4.7,5.3,6.0,4.2,4.6,8.6,9.3,11.7,14.1,15.7,14.2,8.7,9.2,7.4,4.7
02/17/2019,7.1,8.9,4.8,9.1,7.7,7.3,8.4,7.4,7.3,7.5,6.5,5.6,2.9,2.6,2.0,0.6,5.7,4.6,7.4,7.4,5.8,9.9,8.9,6.9
02/18/2019,8.5,5.0,4.8,4.8,5.1,6.4,8.8,9.3,7.5,6.3,5.6,5.0,1.1,3.2,3.5,4.2,4.1,4.1,5.6,6.2,5.9,5.9,5.8,4.5
02/19/2019,3.4,4.3,5.1,4.5,4.7,5.4,6.0,6.0,5.7,7.1,7.1,5.7,4.1,1.5,2.7,3.8,2.2,1.6,2.6,2.6,4.3,3.5,2.5,1.3
02/20/2019,2.9,2.4,2.5,1.5,1.0,3.5,5.2,8.9,5.2,5.1,5.3,5.2,2.3,0.7,1.6,3.5,3.7,7.7,9.5,8.5,8.8,7.4,7.0,5.3
02/21/2019,8.2,8.7,6.6,8.2,8.3,9.1,9.0,10.3,9.9,6.1,6.8,2.5,3.6,1.7,3.2,5.3,3.5,3.2,6.5,6.4,5.5,7.9,5.3,6.5
02/22/2019,5.1,4.8,3.6,1.2,3.5,2.7,6.5,4.6,4.1,4.4,1.5,1.9,0.7,1.2,3.1,4.0,4.4,5.1,4.8,6.0,6.4,5.2,5.9,3.2
02/23/2019,2.5,3.8,1.7,3.8,3.3,4.2,4.4,4.4,6.9,3.6,3.4,0.9,1.1,1.2,1.8,4.1,22.7,32.5,23.5,8.8,6.5,7.3,7.9,7.6
02/24/2019,7.6,7.7,6.1,5.9,6.1,6.5,6.1,6.6,6.7,3.6,3.5,3.4,2.4,1.5,2.1,2.7,3.2,4.8,7.3,7.8,8.7,11.0,16.0,18.6
02/25/2019,18.5,15.7,11.6,11.7,13.1,13.8,17.1,22.5,14.9,3.5,1.6,1.6,0.4,0.2,1.2,2.4,4.1,5.3,6.2,6.9,5.4,6.5,6.2,4.8
02/26/2019,4.8,5.3,6.0,5.9,7.9,7.0,8.0,9.2,9.8,9.3,9.4,6.4,7.9,5.8,5.1,5.4,6.4,6.8,8.1,8.4,7.8,6.4,7.6,3.9
02/27/2019,2.6,3.4,3.0,3.9,4.1,4.4,3.5,3.4,4.1,3.5,4.7,5.3,4.1,4.4,1.2,0.6,1.3,3.7,8.6,LIM,LIM,LIM,LIM,LIM
02/28/2019,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,12.1,4.3,3.6,4.2,4.5,6.0,8.3,8.7,10.9,15.8,10.8,9.6
03/01/2019,10.6,10.7,9.6,8.0,6.0,7.9,5.5,6.0,9.0,3.0,6.8,6.3,6.4,7.9,7.1,8.9,9.8,9.4,9.6,11.8,10.7,12.1,10.7,8.9
03/02/2019,8.3,8.2,5.9,5.6,7.1,6.2,6.8,7.2,7.5,8.6,7.8,6.4,5.8,3.7,3.9,2.1,1.7,2.0,1.7,3.8,5.0,3.6,2.5,1.6
03/03/2019,1.2,2.5,1.4,4.4,1.3,6.6,5.9,5.1,LIM,LIM,LIM,LIM,6.1,6.2,6.3,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM
03/04/2019,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM
03/05/2019,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,QAS,QAS,13.4,13.7,11.1,9.8,8.8,8.6,8.9,10.6,10.8,17.2,21.0,20.1
03/06/2019,15.8,13.7,16.5,14.4,14.9,15.6,17.9,39.3,23.7,6.8,3.4,3.8,2.6,2.2,4.9,6.3,6.7,6.2,5.2,7.0,8.5,9.3,8.8,9.2
03/07/2019,10.1,9.8,9.6,11.5,11.0,6.4,6.5,6.6,6.9,6.7,6.4,5.3,5.6,3.2,3.7,5.3,5.8,7.0,5.4,5.5,7.0,7.1,7.1,6.7
03/08/2019,7.7,6.3,6.3,5.8,6.2,7.1,7.2,8.2,7.9,7.5,6.5,AQI,3.4,5.4,7.7,9.1,9.6,7.8,7.3,9.5,10.4,8.8,8.8,9.2
03/09/2019,10.8,11.4,11.4,10.0,11.8,6.0,7.8,7.6,6.5,4.6,1.0,AQI,1.3,1.2,3.0,3.5,3.8,3.7,7.2,8.8,12.1,14.8,21.4,21.9
03/10/2019,24.9,28.1,25.9,6.8,3.6,4.8,6.4,5.6,6.0,5.6,7.1,6.4,5.0,4.5,7.7,7.8,8.9,8.2,8.1,10.2,8.5,8.3,8.5,9.0
03/11/2019,6.6,6.6,7.9,8.1,7.3,6.2,4.2,4.1,4.3,6.0,4.7,7.4,7.2,6.6,8.3,8.5,6.9,7.4,7.3,7.1,6.8,6.9,7.4,7.2
03/12/2019,6.8,8.3,9.7,10.7,9.7,9.4,8.4,9.1,9.4,4.1,5.9,5.8,7.4,7.4,7.9,11.0,15.6,17.9,17.4,15.1,18.1,9.2,11.3,7.2
03/13/2019,6.5,6.7,4.0,7.9,1.5,3.3,3.6,3.1,2.2,1.6,0.5,0.1,0.4,1.6,0.2,0.6,2.5,4.1,5.7,9.6,10.4,9.7,8.2,7.1
03/14/2019,16.4,32.8,45.1,28.2,7.2,10.2,6.3,8.5,6.3,5.9,3.6,3.7,3.9,3.2,3.5,4.8,5.0,6.6,8.6,8.6,7.4,7.7,6.5,5.8
03/15/2019,4.9,5.2,4.4,4.1,4.4,6.2,6.0,5.3,4.2,2.2,1.8,2.1,1.3,0.6,1.2,3.2,3.0,4.6,7.4,6.5,8.5,8.1,6.5,6.2
03/16/2019,5.7,6.2,4.7,4.7,5.8,6.9,7.3,6.8,4.8,3.2,2.7,1.1,0.5,0.5,1.5,2.9,2.6,4.9,8.3,7.3,9.0,12.1,16.3,19.6
03/17/2019,19.6,21.7,18.9,15.7,13.1,13.1,14.5,14.6,13.5,7.5,2.6,1.3,2.4,2.9,4.8,6.5,6.1,7.7,9.7,11.7,12.0,13.5,18.5,21.4
03/18/2019,20.3,17.5,16.1,18.7,20.3,61.5,40.9,19.3,15.9,21.7,9.3,4.5,4.9,5.6,8.0,7.9,7.0,7.2,10.3,10.8,10.9,13.4,15.1,16.7
03/19/2019,19.7,20.1,15.7,16.5,15.3,14.7,16.9,15.4,15.3,21.6,21.3,12.8,10.9,4.9,11.9,12.2,15.2,18.0,21.2,20.2,18.0,17.1,16.8,17.1
03/20/2019,18.3,17.2,16.0,16.8,18.8,20.8,19.2,23.7,16.4,16.1,14.0,6.3,4.1,2.3,2.8,3.9,4.4,4.4,6.4,7.5,9.5,9.4,9.9,7.8
03/21/2019,6.8,5.9,5.7,6.5,5.6,8.4,11.4,10.6,11.6,5.1,5.2,4.7,4.4,3.7,4.3,3.8,4.5,5.7,6.6,7.7,14.4,15.5,17.6,14.0
03/22/2019,11.4,12.1,10.8,9.6,11.1,44.5,87.6,49.4,28.7,10.6,8.4,9.4,6.4,9.4,7.7,7.6,8.2,9.0,10.8,9.7,9.9,8.4,9.4,9.6
03/23/2019,12.7,11.1,11.8,10.4,12.7,14.2,17.1,16.2,14.4,14.7,13.9,12.1,9.3,10.2,9.6,11.0,9.3,9.9,9.5,8.5,8.8,8.4,6.8,6.6
03/24/2019,6.0,6.0,4.7,4.9,5.4,5.8,6.1,6.7,7.4,6.9,6.4,6.5,5.7,5.6,8.3,5.3,8.8,6.4,8.4,12.6,14.3,10.9,10.8,8.7
03/25/2019,7.1,6.3,9.7,10.4,10.4,9.7,11.0,12.4,9.0,7.4,5.0,5.3,6.2,5.2,5.6,6.9,7.4,7.4,8.0,9.0,9.5,10.3,13.6,17.5
03/26/2019,16.1,14.3,15.0,11.8,12.1,12.9,13.3,13.1,8.1,6.7,6.4,6.3,5.9,4.1,4.7,5.6,6.8,6.6,8.9,9.6,11.1,8.5,5.9,6.0
03/27/2019,6.5,5.3,7.0,8.5,7.9,10.2,11.0,10.8,8.4,8.3,9.1,9.1,7.5,7.6,8.4,10.2,11.7,12.8,13.7,14.6,14.8,11.4,11.8,12.5
03/28/2019,12.2,11.1,10.0,8.2,8.1,9.0,9.0,7.7,7.8,7.3,6.4,4.7,5.3,5.3,7.2,8.2,8.1,8.2,8.9,11.3,11.1,8.0,6.6,6.9
03/29/2019,5.4,5.3,6.0,5.4,7.9,7.1,8.5,6.8,7.1,5.7,7.4,8.0,8.0,6.8,9.5,8.7,9.3,9.2,10.3,10.7,11.3,9.6,8.0,5.9
03/30/2019,5.9,5.6,5.3,5.8,7.4,9.3,4.1,0.5,1.3,1.6,2.4,1.3,1.8,1.7,2.6,2.3,2.4,3.5,3.4,4.6,5.5,6.1,5.6,5.4
03/31/2019,5.4,4.6,4.6,4.0,4.5,5.4,4.2,4.2,2.7,3.7,0.5,2.5,1.7,1.2,0.9,1.7,2.6,3.8,5.6,5.8,7.1,7.0,8.6,8.8
04/01/2019,15.6,9.4,8.8,7.7,5.5,108.4,21.3,8.8,9.4,11.1,6.5,3.1,3.0,2.7,3.3,3.7,4.6,5.4,7.3,9.2,13.7,10.2,9.4,8.0
04/02/2019,8.0,8.2,6.3,5.6,5.2,6.5,9.9,9.0,7.6,6.6,6.1,4.4,4.6,6.2,5.9,6.4,6.1,7.8,8.3,8.9,9.4,9.5,10.1,8.8
04/03/2019,7.4,7.2,8.3,10.1,10.0,10.5,9.7,8.9,5.9,8.7,7.2,6.0,5.7,6.0,4.2,5.3,7.4,8.3,8.4,9.2,9.7,9.2,9.8,10.2
04/04/2019,11.9,11.7,8.9,6.9,5.6,4.3,5.7,6.5,5.6,7.9,QAS,QAS,2.1,3.1,3.7,2.7,4.1,9.8,11.0,9.8,8.9,8.0,7.1,5.1
04/05/2019,4.8,4.1,4.2,6.0,7.3,11.1,16.6,17.7,9.3,5.3,4.2,6.7,6.7,7.1,8.6,10.0,9.2,9.8,10.1,14.5,14.8,16.4,16.5,13.5
