<Header>
User name: 
Location: 
Model: 1.109
Serial No.: 9G100048
Firmware revision: 12.30E
Software revision: 5-1 Rev IV (12-04-2017)
Unit: ug/m3
C-factor: 1.00
Comment: 
online data
<Data>
[d&t12/31/2035 11:50:55 AM]	PM10 [ug/m3]	PM2.5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
2/12/2019 4:05:04 AM	12.1	11.6	9.9	12.1	12.1	11.9
2/12/2019 4:05:10 AM	12.9	12.3	10.7	12.9	12.9	12.6
2/12/2019 4:05:16 AM	10.6	10.6	10.3	10.6	10.6	10.6
2/12/2019 4:05:22 AM	12.0	10.8	10.0	12.0	12.0	11.3
2/12/2019 4:05:28 AM	10.9	10.9	10.5	10.9	10.9	10.9
2/12/2019 4:05:34 AM	20.2	10.7	10.2	46.8	26.0	11.2
2/12/2019 4:05:40 AM	12.0	11.8	10.4	12.0	12.0	11.8
2/12/2019 4:05:46 AM	12.3	10.6	10.2	12.3	12.3	11.0
2/12/2019 4:05:52 AM	11.7	10.9	10.0	11.7	11.7	11.2
2/12/2019 4:05:58 AM	10.1	10.1	10.1	10.1	10.1	10.1
2/12/2019 4:06:04 AM	20.9	10.8	9.9	21.2	18.9	11.6
2/12/2019 4:06:10 AM	10.9	10.9	10.5	10.9	10.9	10.9
2/12/2019 4:06:16 AM	10.0	10.0	9.8	10.0	10.0	10.0
2/12/2019 4:06:22 AM	12.7	11.6	10.3	12.7	12.7	12.1
2/12/2019 4:06:28 AM	11.0	11.0	10.8	11.0	11.0	11.0
2/12/2019 4:06:34 AM	10.4	10.4	10.2	10.4	10.4	10.4
2/12/2019 4:06:40 AM	10.8	10.8	10.3	10.8	10.8	10.8
2/12/2019 4:06:46 AM	10.7	10.7	10.2	10.7	10.7	10.7
2/12/2019 4:06:52 AM	10.4	10.4	10.3	10.4	10.4	10.4
2/12/2019 4:06:58 AM	14.1	12.3	10.8	14.1	14.1	13.1
2/12/2019 4:07:04 AM	10.5	10.5	10.4	10.5	10.5	10.5
2/12/2019 4:07:10 AM	11.3	10.9	10.2	11.3	11.3	11.1
2/12/2019 4:07:16 AM	10.5	10.5	10.4	10.5	10.5	10.5
2/12/2019 4:07:22 AM	10.1	10.1	10.1	10.1	10.1	10.1
2/12/2019 4:07:28 AM	12.5	11.4	10.2	12.5	12.5	11.9
2/12/2019 4:07:34 AM	16.0	11.6	10.5	16.0	15.7	12.6
2/12/2019 4:07:40 AM	18.5	12.9	10.3	18.5	17.7	13.7
2/12/2019 4:07:46 AM	12.3	11.7	10.2	12.3	12.3	12.0
2/12/2019 4:07:52 AM	12.4	11.2	9.3	12.4	12.4	11.7
2/12/2019 4:07:58 AM	10.7	10.7	10.2	10.7	10.7	10.7
2/12/2019 4:08:04 AM	11.0	11.0	10.7	11.0	11.0	11.0
2/12/2019 4:08:10 AM	10.6	10.6	10.2	10.6	10.6	10.6
2/12/2019 4:08:16 AM	11.2	11.2	10.3	11.2	11.2	11.2
2/12/2019 4:08:22 AM	11.0	10.9	10.1	11.0	11.0	10.9
2/12/2019 4:08:28 AM	13.1	11.4	10.4	13.1	13.0	12.2
2/12/2019 4:08:34 AM	10.5	10.5	10.5	10.5	10.5	10.5
2/12/2019 4:08:40 AM	11.0	11.0	10.5	11.0	11.0	11.0
2/12/2019 4:08:46 AM	10.4	10.4	10.4	10.4	10.4	10.4
2/12/2019 4:08:52 AM	14.5	11.2	10.1	14.5	14.2	11.7
2/12/2019 4:08:58 AM	12.0	11.0	10.1	12.0	12.0	11.5
2/12/2019 4:09:04 AM	10.3	10.3	10.1	10.3	10.3	10.3
2/12/2019 4:09:10 AM	11.2	10.8	10.1	11.2	11.2	11.0
2/12/2019 4:09:16 AM	13.1	11.9	10.3	13.1	13.1	12.5
2/12/2019 4:09:22 AM	13.8	11.4	10.3	35.4	20.4	12.0
2/12/2019 4:09:28 AM	13.0	10.9	10.2	13.0	13.0	11.9
2/12/2019 4:09:34 AM	11.6	10.8	9.9	11.6	11.6	11.1
2/12/2019 4:09:40 AM	17.0	12.0	10.6	17.0	16.2	12.5
2/12/2019 4:09:46 AM	10.7	10.7	10.3	10.7	10.7	10.7
2/12/2019 4:09:52 AM	11.6	11.3	10.5	11.6	11.6	11.4
2/12/2019 4:09:58 AM	10.5	10.5	10.2	10.5	10.5	10.5
2/12/2019 4:10:04 AM	10.8	10.8	10.2	10.8	10.8	10.8
2/12/2019 4:10:10 AM	12.5	11.3	9.9	12.5	12.5	11.8
2/12/2019 4:10:16 AM	10.4	10.4	10.3	10.4	10.4	10.4
2/12/2019 4:10:22 AM	10.3	10.3	9.8	10.3	10.3	10.3
2/12/2019 4:10:28 AM	10.0	10.0	10.0	10.0	10.0	10.0
2/12/2019 4:10:34 AM	11.2	10.3	9.9	11.2	11.2	10.7
2/12/2019 4:10:40 AM	12.5	11.0	10.2	12.5	12.5	11.7
2/12/2019 4:10:46 AM	9.9	9.9	9.7	9.9	9.9	9.9
2/12/2019 4:10:52 AM	10.9	10.5	9.9	10.9	10.9	10.7
2/12/2019 4:10:58 AM	10.2	10.2	9.7	10.2	10.2	10.2
2/12/2019 4:11:04 AM	12.1	10.9	10.1	12.1	12.1	11.4
2/12/2019 4:11:10 AM	10.8	10.7	10.1	10.8	10.8	10.8
2/12/2019 4:11:16 AM	11.4	10.5	9.7	11.4	11.4	10.9
2/12/2019 4:11:22 AM	10.8	10.7	10.1	10.8	10.8	10.7
2/12/2019 4:11:28 AM	10.1	10.1	10.1	10.1	10.1	10.1
2/12/2019 4:11:34 AM	11.9	11.7	10.0	11.9	11.9	11.8
2/12/2019 4:11:40 AM	10.4	10.3	9.8	10.4	10.4	10.3
2/12/2019 4:11:46 AM	11.2	11.2	10.3	11.2	11.2	11.2
2/12/2019 4:11:52 AM	11.1	11.1	10.1	11.1	11.1	11.1
2/12/2019 4:11:58 AM	12.1	11.2	10.2	12.1	12.1	11.6
2/12/2019 4:12:04 AM	17.6	11.2	10.0	17.6	16.8	12.0
2/12/2019 4:12:10 AM	10.1	10.1	9.7	10.1	10.1	10.1
2/12/2019 4:12:16 AM	10.1	10.1	9.9	10.1	10.1	10.1
2/12/2019 4:12:22 AM	12.0	10.0	9.6	12.0	11.9	10.5
2/12/2019 4:12:28 AM	9.6	9.6	9.6	9.6	9.6	9.6
2/12/2019 4:12:34 AM	10.3	10.3	10.0	10.3	10.3	10.3
2/12/2019 4:12:40 AM	12.0	10.6	9.8	12.0	12.0	11.3
2/12/2019 4:12:46 AM	10.1	10.1	9.7	10.1	10.1	10.1
2/12/2019 4:12:52 AM	20.4	12.7	10.1	25.4	19.6	12.9
2/12/2019 4:12:58 AM	10.6	10.6	9.9	10.6	10.6	10.6
2/12/2019 4:13:04 AM	10.3	10.2	9.6	10.3	10.3	10.3
2/12/2019 4:13:10 AM	10.7	10.7	9.9	10.7	10.7	10.7
2/12/2019 4:13:16 AM	13.9	10.5	9.8	13.9	13.8	11.3
2/12/2019 4:13:22 AM	10.5	10.5	9.6	10.5	10.5	10.5
2/12/2019 4:13:28 AM	10.0	10.0	10.0	10.0	10.0	10.0
2/12/2019 4:13:34 AM	14.3	10.1	9.6	14.3	14.0	11.0
2/12/2019 4:13:40 AM	11.0	10.7	9.8	11.0	11.0	10.8
2/12/2019 4:13:46 AM	9.9	9.9	9.8	9.9	9.9	9.9
2/12/2019 4:13:52 AM	9.7	9.7	9.7	9.7	9.7	9.7
2/12/2019 4:13:58 AM	9.9	9.9	9.7	9.9	9.9	9.9
2/12/2019 4:14:04 AM	11.1	10.3	9.5	11.1	11.1	10.7
2/12/2019 4:14:10 AM	10.1	10.0	9.5	10.1	10.1	10.0
2/12/2019 4:14:16 AM	13.3	9.5	9.2	13.3	13.0	10.2
2/12/2019 4:14:22 AM	9.5	9.5	9.5	9.5	9.5	9.5
2/12/2019 4:14:28 AM	17.3	10.7	9.6	17.7	15.7	10.9
2/12/2019 4:14:34 AM	25.0	10.3	9.8	25.7	21.7	11.3
2/12/2019 4:14:40 AM	11.0	10.2	9.8	11.0	11.0	10.5
2/12/2019 4:14:46 AM	12.3	10.5	9.5	12.3	12.2	10.9
2/12/2019 4:14:52 AM	9.8	9.8	9.4	9.8	9.8	9.8
2/12/2019 4:14:58 AM	11.2	10.5	9.5	11.2	11.2	10.9
2/12/2019 4:15:04 AM	9.8	9.8	9.7	9.8	9.8	9.8
2/12/2019 4:15:10 AM	17.0	10.5	9.3	17.0	16.2	11.3
2/12/2019 4:15:16 AM	9.7	9.7	9.4	9.7	9.7	9.7
2/12/2019 4:15:22 AM	12.3	11.5	9.6	12.3	12.3	11.9
2/12/2019 4:15:28 AM	9.9	9.9	9.8	9.9	9.9	9.9
2/12/2019 4:15:34 AM	9.7	9.7	9.5	9.7	9.7	9.7
2/12/2019 4:15:40 AM	13.0	10.1	9.7	13.0	13.0	11.1
2/12/2019 4:15:46 AM	9.7	9.7	9.6	9.7	9.7	9.7
2/12/2019 4:15:52 AM	9.9	9.9	9.6	9.9	9.9	9.9
2/12/2019 4:15:58 AM	9.8	9.8	9.3	9.8	9.8	9.8
2/12/2019 4:16:04 AM	10.2	10.2	9.6	10.2	10.2	10.2
2/12/2019 4:16:10 AM	10.9	10.8	9.6	10.9	10.9	10.9
2/12/2019 4:16:16 AM	9.6	9.6	9.1	9.6	9.6	9.6
2/12/2019 4:16:22 AM	11.1	10.4	9.3	11.1	11.1	10.7
2/12/2019 4:16:28 AM	9.3	9.3	8.9	9.3	9.3	9.3
2/12/2019 4:16:34 AM	9.7	9.7	9.5	9.7	9.7	9.7
2/12/2019 4:16:40 AM	18.3	9.8	9.1	18.6	16.6	10.5
2/12/2019 4:16:46 AM	9.2	9.2	9.2	9.2	9.2	9.2
2/12/2019 4:16:52 AM	10.8	10.3	9.4	10.8	10.8	10.5
2/12/2019 4:16:58 AM	12.4	10.8	9.6	12.4	12.4	11.5
2/12/2019 4:17:04 AM	9.8	9.8	9.3	9.8	9.8	9.8
