dateTime,timestamp,latitude,latitudeDirection,longitude,longitudeDirection,gpsQuality,numberOfSatellites,HorizontalDilution,altitude,altitudeUnits,undulation,undulationUnits,age,stationID
2019-03-13 00:00:01.105012,00:00:01,3259.53754,N,09645.46980,W,1,09,1.42,223.0,M,-25.3,M,,
2019-03-13 00:00:04.078284,00:00:04,3259.53779,N,09645.46976,W,1,10,0.94,222.9,M,-25.3,M,,
2019-03-13 00:00:07.081524,00:00:07,3259.53801,N,09645.46969,W,1,10,0.94,222.7,M,-25.3,M,,
2019-03-13 00:00:10.076191,00:00:10,3259.53810,N,09645.46962,W,1,09,1.42,222.6,M,-25.3,M,,
2019-03-13 00:00:13.078249,00:00:13,3259.53834,N,09645.46965,W,1,09,1.42,222.3,M,-25.3,M,,
2019-03-13 00:00:16.069721,00:00:16,3259.53845,N,09645.46970,W,1,09,1.84,222.0,M,-25.3,M,,
2019-03-13 00:00:18.072671,00:00:18,3259.53837,N,09645.46964,W,1,09,1.85,221.8,M,-25.3,M,,
2019-03-13 00:00:20.073569,00:00:20,3259.53835,N,09645.46963,W,1,08,1.85,221.8,M,-25.3,M,,
2019-03-13 00:00:23.075093,00:00:23,3259.53817,N,09645.46964,W,1,08,1.85,221.4,M,-25.3,M,,
2019-03-13 00:00:26.073083,00:00:26,3259.53788,N,09645.46969,W,1,08,1.85,220.9,M,-25.3,M,,
2019-03-13 00:00:29.074760,00:00:29,3259.53747,N,09645.46967,W,1,08,1.85,220.2,M,-25.3,M,,
2019-03-13 00:00:32.070795,00:00:32,3259.53703,N,09645.46965,W,1,08,1.85,219.4,M,-25.3,M,,
2019-03-13 00:00:35.074072,00:00:35,3259.53668,N,09645.46964,W,1,08,1.85,218.5,M,-25.3,M,,
2019-03-13 00:00:38.066655,00:00:38,3259.53636,N,09645.46964,W,1,08,1.85,217.8,M,-25.3,M,,
2019-03-13 00:00:40.068991,00:00:40,3259.53604,N,09645.46961,W,1,08,1.85,217.3,M,-25.3,M,,
2019-03-13 00:00:42.071814,00:00:42,3259.53567,N,09645.46956,W,1,08,1.85,216.7,M,-25.3,M,,
