Title: autostart_1
Comment: 

Start at: 4/8/2019 - 8:00:36 PM
Duration: 25:02:20
Moving Average: 120 s
Mean PM tot.: NaN
Operator: User

Limits: 
no limits set

Comments: 
no comments available

Notifications: 
no notifications recorded

timestamp	PM 1	PM 2.5	PM 4	PM 10	PM tot.	dCn	Latitude	Longitude	timestamp	temperature [°C]	rel. humidity [%]	ambient pressure [hPa]
4/8/2019 - 8:00:36 PM	22.09	24.96	26.29	26.28	26.29	473.77	-1.000000	-1.000000	4/8/2019 - 8:00:36 PM	36.11	16.97	700.00
4/8/2019 - 8:00:47 PM	15.94	17.83	18.75	18.75	18.75	369.70	-1.000000	-1.000000	4/8/2019 - 8:00:41 PM	34.46	16.97	988.40
4/8/2019 - 8:00:56 PM	13.85	15.99	17.73	17.66	17.75	345.22	-1.000000	-1.000000	4/8/2019 - 8:00:46 PM	33.92	19.98	988.52
4/8/2019 - 8:01:06 PM	12.61	15.87	15.62	40.45	59.03	332.88	-1.000000	-1.000000	4/8/2019 - 8:00:51 PM	33.48	19.98	988.52
4/8/2019 - 8:01:16 PM	11.69	14.52	14.53	34.39	49.26	318.44	-1.000000	-1.000000	4/8/2019 - 8:00:56 PM	33.22	20.97	988.52
4/8/2019 - 8:01:26 PM	11.10	13.88	13.53	39.11	113.49	312.05	-1.000000	-1.000000	4/8/2019 - 8:01:01 PM	32.99	20.97	988.52
4/8/2019 - 8:01:36 PM	10.79	13.22	12.97	34.90	98.65	305.49	-1.000000	-1.000000	4/8/2019 - 8:01:06 PM	32.83	21.17	988.40
4/8/2019 - 8:01:46 PM	10.39	12.68	12.57	31.75	87.53	297.53	-1.000000	-1.000000	4/8/2019 - 8:01:11 PM	32.74	21.17	988.28
4/8/2019 - 8:01:56 PM	10.10	12.23	12.21	29.26	78.84	290.34	-1.000000	-1.000000	4/8/2019 - 8:01:16 PM	32.67	21.17	988.40
4/8/2019 - 8:02:06 PM	9.86	11.78	11.79	27.13	71.76	291.31	-1.000000	-1.000000	4/8/2019 - 8:01:21 PM	32.65	21.20	988.28
4/8/2019 - 8:02:16 PM	9.76	11.85	12.56	26.73	67.51	289.65	-1.000000	-1.000000	4/8/2019 - 8:01:26 PM	32.60	21.20	988.28
4/8/2019 - 8:02:26 PM	9.68	11.91	13.20	26.40	63.96	288.27	-1.000000	-1.000000	4/8/2019 - 8:01:31 PM	32.56	21.35	988.28
4/8/2019 - 8:02:36 PM	9.62	11.96	13.75	26.12	60.96	287.10	-1.000000	-1.000000	4/8/2019 - 8:01:36 PM	32.53	31.09	988.28
4/8/2019 - 8:02:46 PM	9.56	12.01	14.22	25.88	58.39	286.09	-1.000000	-1.000000	4/8/2019 - 8:01:41 PM	32.53	31.29	988.28
4/8/2019 - 8:02:57 PM	9.45	11.83	14.09	24.99	55.37	284.19	-1.000000	-1.000000	4/8/2019 - 8:01:46 PM	32.53	31.29	988.16
4/8/2019 - 8:03:07 PM	9.35	11.68	13.97	24.22	52.74	282.52	-1.000000	-1.000000	4/8/2019 - 8:01:51 PM	32.53	31.58	988.16
4/8/2019 - 8:03:17 PM	9.26	11.55	13.88	23.54	50.41	281.05	-1.000000	-1.000000	4/8/2019 - 8:01:56 PM	32.53	31.58	988.16
4/8/2019 - 8:03:27 PM	9.18	11.43	13.79	22.94	48.35	279.74	-1.000000	-1.000000	4/8/2019 - 8:02:01 PM	32.53	31.28	988.16
4/8/2019 - 8:03:37 PM	8.96	11.28	13.91	23.05	47.38	275.17	-1.000000	-1.000000	4/8/2019 - 8:02:06 PM	32.53	31.28	988.16
4/8/2019 - 8:03:47 PM	8.93	11.15	13.67	22.35	45.46	275.13	-1.000000	-1.000000	4/8/2019 - 8:02:11 PM	32.53	31.44	988.16
4/8/2019 - 8:03:57 PM	8.89	11.12	13.61	21.87	43.89	274.07	-1.000000	-1.000000	4/8/2019 - 8:02:16 PM	32.53	31.44	988.16
4/8/2019 - 8:04:07 PM	8.84	10.98	13.37	21.25	42.27	274.11	-1.000000	-1.000000	4/8/2019 - 8:02:21 PM	32.53	31.44	988.16
4/8/2019 - 8:04:17 PM	8.84	10.89	13.19	20.73	40.84	273.32	-1.000000	-1.000000	4/8/2019 - 8:02:26 PM	32.53	31.44	988.16
4/8/2019 - 8:04:27 PM	8.80	10.77	12.99	20.22	39.49	273.21	-1.000000	-1.000000	4/8/2019 - 8:02:31 PM	32.53	31.44	988.16
4/8/2019 - 8:04:37 PM	8.76	10.66	12.81	19.75	38.24	272.52	-1.000000	-1.000000	4/8/2019 - 8:02:36 PM	32.53	31.44	988.16
4/8/2019 - 8:04:47 PM	8.72	10.64	12.97	19.69	37.54	272.21	-1.000000	-1.000000	4/8/2019 - 8:02:41 PM	32.53	31.44	988.16
4/8/2019 - 8:04:57 PM	8.68	10.54	12.80	19.27	36.46	271.80	-1.000000	-1.000000	4/8/2019 - 8:02:46 PM	32.53	31.44	988.16
4/8/2019 - 8:05:07 PM	8.64	10.65	13.26	20.72	37.91	271.55	-1.000000	-1.000000	4/8/2019 - 8:02:52 PM	-273.15	21.62	988.16
4/8/2019 - 8:05:17 PM	8.62	10.57	13.10	20.30	36.90	271.42	-1.000000	-1.000000	4/8/2019 - 8:02:57 PM	-273.15	21.62	988.16
4/8/2019 - 8:05:27 PM	8.61	10.55	13.06	20.02	36.06	270.35	-1.000000	-1.000000	4/8/2019 - 8:03:02 PM	-273.15	21.62	988.16
4/8/2019 - 8:05:37 PM	8.56	10.44	12.88	19.61	35.14	269.01	-1.000000	-1.000000	4/8/2019 - 8:03:07 PM	-273.15	21.62	988.16
4/8/2019 - 8:05:47 PM	8.51	10.34	12.71	19.23	34.28	267.17	-1.000000	-1.000000	4/8/2019 - 8:03:12 PM	-273.15	21.62	988.16
4/8/2019 - 8:05:57 PM	8.44	10.42	12.53	22.69	42.10	265.59	-1.000000	-1.000000	4/8/2019 - 8:03:17 PM	-273.15	21.62	988.16
4/8/2019 - 8:06:06 PM	8.41	10.35	12.41	22.27	41.11	264.44	-1.000000	-1.000000	4/8/2019 - 8:03:22 PM	-273.15	21.62	988.16
4/8/2019 - 8:06:16 PM	8.36	10.32	12.54	22.16	40.51	262.82	-1.000000	-1.000000	4/8/2019 - 8:03:27 PM	-273.15	21.62	988.16
4/8/2019 - 8:06:26 PM	8.34	10.26	12.43	21.78	39.62	261.87	-1.000000	-1.000000	4/8/2019 - 8:03:32 PM	31.76	21.46	700.00
4/8/2019 - 8:06:36 PM	8.31	10.20	12.33	21.43	38.80	260.79	-1.000000	-1.000000	4/8/2019 - 8:03:37 PM	31.76	21.46	988.16
4/8/2019 - 8:06:46 PM	8.28	10.13	12.21	21.07	37.97	260.22	-1.000000	-1.000000	4/8/2019 - 8:03:42 PM	31.73	21.57	988.16
4/8/2019 - 8:06:56 PM	8.25	10.11	12.17	20.80	37.28	259.26	-1.000000	-1.000000	4/8/2019 - 8:03:47 PM	31.69	21.57	988.16
4/8/2019 - 8:07:06 PM	8.25	10.06	12.08	20.49	36.56	259.52	-1.000000	-1.000000	4/8/2019 - 8:03:52 PM	31.64	21.50	988.28
4/8/2019 - 8:07:16 PM	8.23	10.01	11.99	20.20	35.87	258.90	-1.000000	-1.000000	4/8/2019 - 8:03:57 PM	31.58	21.50	988.16
4/8/2019 - 8:07:26 PM	8.20	9.95	11.90	19.92	35.22	258.00	-1.000000	-1.000000	4/8/2019 - 8:04:02 PM	31.55	21.50	988.16
4/8/2019 - 8:07:36 PM	8.17	9.92	11.87	19.69	34.64	257.07	-1.000000	-1.000000	4/8/2019 - 8:04:07 PM	31.53	21.24	988.16
4/8/2019 - 8:07:46 PM	8.14	9.85	11.76	19.41	34.01	256.28	-1.000000	-1.000000	4/8/2019 - 8:04:12 PM	31.53	21.24	988.03
4/8/2019 - 8:07:56 PM	8.09	9.77	11.64	19.12	33.40	255.09	-1.000000	-1.000000	4/8/2019 - 8:04:17 PM	31.51	20.93	988.16
4/8/2019 - 8:08:06 PM	8.05	9.69	11.53	18.85	32.82	254.39	-1.000000	-1.000000	4/8/2019 - 8:04:22 PM	31.51	20.93	988.03
4/8/2019 - 8:08:16 PM	8.02	9.63	11.44	18.59	32.27	253.22	-1.000000	-1.000000	4/8/2019 - 8:04:27 PM	31.48	20.78	988.03
4/8/2019 - 8:08:27 PM	8.00	9.66	11.35	19.78	34.24	252.33	-1.000000	-1.000000	4/8/2019 - 8:04:32 PM	32.11	31.07	988.03
4/8/2019 - 8:08:37 PM	7.97	9.61	11.26	19.53	33.69	251.58	-1.000000	-1.000000	4/8/2019 - 8:04:37 PM	31.48	32.26	988.03
4/8/2019 - 8:08:47 PM	7.94	9.55	11.18	19.28	33.15	250.98	-1.000000	-1.000000	4/8/2019 - 8:04:42 PM	31.48	32.26	988.03
4/8/2019 - 8:08:57 PM	7.93	9.51	11.11	19.06	32.66	249.97	-1.000000	-1.000000	4/8/2019 - 8:04:47 PM	31.48	32.19	987.79
4/8/2019 - 8:09:07 PM	7.91	9.47	11.05	18.84	32.18	249.47	-1.000000	-1.000000	4/8/2019 - 8:04:52 PM	31.48	32.19	987.79
4/8/2019 - 8:09:17 PM	7.87	9.41	10.96	18.61	31.70	248.35	-1.000000	-1.000000	4/8/2019 - 8:04:57 PM	31.48	32.48	988.03
4/8/2019 - 8:09:27 PM	7.84	9.35	10.88	18.38	31.23	247.70	-1.000000	-1.000000	4/8/2019 - 8:05:02 PM	31.48	32.48	988.03
4/8/2019 - 8:09:37 PM	7.81	9.30	10.81	18.18	30.79	246.53	-1.000000	-1.000000	4/8/2019 - 8:05:07 PM	31.48	32.54	988.40
4/8/2019 - 8:09:47 PM	7.78	9.25	10.73	17.96	30.35	245.97	-1.000000	-1.000000	4/8/2019 - 8:05:12 PM	31.48	32.54	988.28
4/8/2019 - 8:09:57 PM	7.74	9.20	10.67	17.78	29.95	244.76	-1.000000	-1.000000	4/8/2019 - 8:05:17 PM	31.48	32.95	988.28
4/8/2019 - 8:10:07 PM	7.72	9.16	10.62	17.60	29.56	244.05	-1.000000	-1.000000	4/8/2019 - 8:05:22 PM	31.48	32.95	988.28
4/8/2019 - 8:10:17 PM	7.69	9.11	10.54	17.41	29.17	243.19	-1.000000	-1.000000	4/8/2019 - 8:05:27 PM	31.14	33.56	988.28
4/8/2019 - 8:10:27 PM	7.66	9.08	10.51	17.26	28.82	242.93	-1.000000	-1.000000	4/8/2019 - 8:05:32 PM	30.10	35.35	988.28
4/8/2019 - 8:10:37 PM	7.64	9.04	10.45	17.09	28.46	242.44	-1.000000	-1.000000	4/8/2019 - 8:05:37 PM	29.76	36.02	988.40
4/8/2019 - 8:10:47 PM	7.63	9.01	10.40	16.93	28.12	242.25	-1.000000	-1.000000	4/8/2019 - 8:05:42 PM	29.76	36.29	988.16
4/8/2019 - 8:10:57 PM	7.61	9.03	10.47	16.90	27.92	241.86	-1.000000	-1.000000	4/8/2019 - 8:05:47 PM	29.76	36.29	988.28
4/8/2019 - 8:11:07 PM	7.59	9.00	10.45	16.77	27.62	241.55	-1.000000	-1.000000	4/8/2019 - 8:05:52 PM	29.76	36.16	988.28
4/8/2019 - 8:11:17 PM	7.59	9.02	10.41	17.47	33.84	241.25	-1.000000	-1.000000	4/8/2019 - 8:05:57 PM	29.76	36.16	988.28
4/8/2019 - 8:11:27 PM	7.58	9.04	10.55	17.50	33.64	241.11	-1.000000	-1.000000	4/8/2019 - 8:06:01 PM	29.76	36.16	988.28
4/8/2019 - 8:11:36 PM	7.55	9.00	10.49	17.33	33.23	240.68	-1.000000	-1.000000	4/8/2019 - 8:06:06 PM	29.76	36.87	988.28
4/8/2019 - 8:11:46 PM	7.54	8.97	10.44	17.18	32.84	240.46	-1.000000	-1.000000	4/8/2019 - 8:06:11 PM	29.76	36.87	988.28
4/8/2019 - 8:11:56 PM	7.53	8.93	10.39	17.03	32.47	239.98	-1.000000	-1.000000	4/8/2019 - 8:06:16 PM	29.76	37.50	988.16
4/8/2019 - 8:12:06 PM	7.51	8.90	10.33	16.88	32.10	239.81	-1.000000	-1.000000	4/8/2019 - 8:06:21 PM	29.76	37.50	988.28
4/8/2019 - 8:12:16 PM	7.49	8.86	10.28	16.74	31.74	239.23	-1.000000	-1.000000	4/8/2019 - 8:06:26 PM	29.80	37.81	988.16
4/8/2019 - 8:12:26 PM	7.47	8.82	10.23	16.59	31.39	238.79	-1.000000	-1.000000	4/8/2019 - 8:06:31 PM	29.88	37.65	988.16
4/8/2019 - 8:12:36 PM	7.45	8.79	10.18	16.46	31.05	238.51	-1.000000	-1.000000	4/8/2019 - 8:06:36 PM	29.96	37.51	988.16
4/8/2019 - 8:12:46 PM	7.42	8.74	10.12	16.31	30.71	237.94	-1.000000	-1.000000	4/8/2019 - 8:06:41 PM	29.96	37.51	988.03
4/8/2019 - 8:12:56 PM	7.41	8.71	10.07	16.18	30.39	237.52	-1.000000	-1.000000	4/8/2019 - 8:06:46 PM	29.96	37.74	988.16
4/8/2019 - 8:13:06 PM	7.39	8.69	10.04	16.06	30.08	237.21	-1.000000	-1.000000	4/8/2019 - 8:06:51 PM	29.96	37.74	987.91
4/8/2019 - 8:13:16 PM	7.40	8.69	10.03	15.98	29.82	237.38	-1.000000	-1.000000	4/8/2019 - 8:06:56 PM	29.96	38.49	988.03
4/8/2019 - 8:13:26 PM	7.40	8.67	10.00	15.87	29.53	237.92	-1.000000	-1.000000	4/8/2019 - 8:07:01 PM	29.96	38.49	988.03
